siret;Entreprise;date_creation;siege;categorie_juridique;categorie_entreprise;complement_adresse;numero_voie;type_voie;libelle_voie;code_postal;ville;coordonnee_lambert_x;coordonnee_lambert_y;code_naf
5781296801053;SFIC;01/02/2026;FAUX;5710;GE;;1;RUE;STEPHANIE KWOLEK;33185;LE HAILLAN;406398.94;6423414.75;46.73A
6770465000166;SOCOTEC POWER SERVICES;01/02/2026;FAUX;5710;GE;;;ZONE INDUSTRIELLE;LOUIS DELAPORTE;76370;ROUXMESNIL-BOUTEILLES;564615.44;6979557.04;71.20B
10000379700014;UNION POUR LA REUNION DE DEMAIN;01/02/2026;VRAI;9220;;;11;SENTIER;DES MUGUETS;97441;SAINTE-SUZANNE;357628.23;7683809.68;94.92Z
10000673300016;DNGUYENSASU;01/02/2026;VRAI;5710;;;9;RUE;DE L'INDUSTRIE;69120;VAULX-EN-VELIN;849985.74;6521118.67;62.01Z
10000854900014;STERISTEME;01/02/2026;VRAI;5710;;;17;BOULEVARD;DE LA RESISTANCE;13350;CHARLEVAL;881248.75;6293433.93;33.12Z
10001001600010;CONSULTING SPORT LOISIRS TOURISME;01/02/2026;VRAI;5710;;;76;IMPASSE;DE LA MAINTENANCE;84450;SAINT-SATURNIN-LES-AVIGNON;855107.5;6319582.95;71.12B
10001047900010;AG CONDUITE;01/02/2026;VRAI;5710;;;133;IMPASSE;DE LA CHRISTOLE;30640;BEAUVOISIN;806681.91;6292896.09;85.53Z
10001055200014;APERO DELIVERY;01/02/2026;VRAI;5499;;;16;PLACE;DES QUINCONCES;33000;BORDEAUX;417576.38;6422727.67;47.11A
10001343200016;LAMBERT GRIGNY MOTORS;01/02/2026;VRAI;5710;;CHEZ LYSY GROUP;13;RUE;JEAN-JACQUES ROUSSEAU;91350;GRIGNY;654057.09;6838780.43;45.11Z
10001362200012;3ZAMIS;30/01/2026;VRAI;6599;;;17;RUE;DU GRAND PRESSOIR;77000;VAUX-LE-PENIL;676290.53;6825282.87;68.20B
10001422400016;MAMA GUSTO;24/01/2026;VRAI;5710;;;78;RUE;SAINT-MAUR;75011;PARIS;654403.26;6862861.38;56.10C
10001618700013;SOLEA;01/02/2026;VRAI;5499;;;10;RUE;DE MONTYON;75009;PARIS;651895.14;6863880.35;68.10Z
10001645000015;SCI TS;01/02/2026;VRAI;6540;;;34;RUE;DE BEZIERS;93150;LE BLANC-MESNIL;661862.97;6869605.98;68.20B
10001646800017;GV IMMOBILIER;01/02/2026;VRAI;2110;;;14;RUE;VASSELOT;35000;RENNES;351986.49;6788998.06;68.20A
10001732600016;ALLIANCE VB SERVICES;01/02/2026;VRAI;5499;;;35;RUE;DES ALLIES;38100;GRENOBLE;914299.21;6456020.84;43.21A
10001766400010;LA PALIBE;01/02/2026;VRAI;6540;;;56;CHEMIN;DE HIQUET;40390;BIAUDOS;351765.86;6280254.19;68.20B
10001992600011;KGSA SERVICES SARL;26/01/2026;VRAI;5499;;;16;RUE;JEAN MOULIN;27000;EVREUX;564937.1;6881258.53;43.99B
10002147600013;ART4EVER;26/01/2026;VRAI;5710;;;142;ROUTE;DE LA BASSEE;62300;LENS;687209.59;7038321.42;70.22Z
10002246600013;INDIVISION SESERMAN MONICA ET ROBBE ALEXIS;01/02/2026;VRAI;2110;;;70;AVENUE;EMILE ZOLA;75015;PARIS;647530.28;6860943.99;68.20A
10002261500015;TAPIAN;01/02/2026;VRAI;5710;;;58;RUE;DES BONITES;97434;SAINT-PAUL;316512.48;7670744.47;47.82Z
10002292000019;FMVP DES ALBIZIAS;01/02/2026;VRAI;6540;;;6;RUE;DES ALBIZIAS;41700;LE CONTROIS-EN-SOLOGNE;582453.17;6704564.61;68.20B
10002307600019;CAPTAIN COM;01/02/2026;VRAI;5710;;DREVE;;PORTE;DES FLANDRES;59850;NIEPPE;688369.6;7065513.98;59.11B
10002345600013;OBRAL DESTOCKAGE;01/02/2026;VRAI;5710;;;178;RUE;DE CHARLIEU;42300;ROANNE;783902.91;6550800.92;46.90Z
